name,latitude,longitude
Abdullah Kili,30.6417,67.5669
Abdullah Shah,28.60612,68.39222
Abdullah Shah,28.12321,67.81339
Abdullah Shambani,28.35003,67.47783
Abdullah Town,30.16835,67.00504
Abdullah Umrani,28.34945,67.78076
Abdullah Wadho,26.8968,66.56902
Abdulwali,30.45366,66.50913
Abdur Rahman,31.14789,66.96515
Abdur Rahman Gis,29.28281,64.04355
Abdur Rahmanzai,30.36038,66.63928
Abdur Rehman,30.60241,66.48659
Abdur Rehman,28.82303,66.5241
Abdur Rehman Bal Bazar,25.51054,61.91645
Abdur-Rahman,27.57167,65.37065
Abdur-Razzaq,30.15615,68.52579
Abgul,29.48445,66.77242
Ablo,27.64802,66.14068
Abra,28.45946,68.22698
Abra Wand,28.9801,67.9316
Abrah,29.06076,67.64973
Abro Wah,28.31997,67.48046
Absar,25.99473,63.08575
Abu Bakar,26.30989,66.64705
Abu Said,30.76463,67.21137
Abu Shah Chah,25.24704,63.39864
Abzai,25.26861,63.42615
Achakzai Colony,30.15968,67.02397
Achehhar,25.75931,67.212
Achrani,26.24375,66.35139
Adal Khan Colony,28.62877,69.20612
Adam,26.32189,65.02803
Adam,26.31975,66.56499
Adam Goth,24.99635,66.71352
Adam Khan,27.62095,65.44107
Adam Khan Brahui,28.22518,68.16597
Adam Khan Kili,30.14624,66.98634
Adam Khan Lohar,28.58145,67.92361
Adam Khan Magsi,28.34347,68.15423
Adam Khazai,30.94637,70.03299
Adam Kili,31.71773,69.32374
Adam Pir,25.30719,66.71051
Adam Zawar,31.216,70.09185
Adampur,28.54362,68.59233
Adamzai,29.45622,66.52227
Adamzai,30.48498,66.6872
Adamzai,30.31964,69.25363
Adamzai,29.6655,66.39536
Adamzai Kili,31.06854,69.42625
Adamzai Kili,31.06712,69.40413
Adanzai,30.93605,69.5808
Adanzai,30.91981,69.5617
Addarzai,30.98579,69.30718
Addozai Kili,30.93551,69.49702
Adhani Kili,28.3155,67.36727
Adhga Haidera,30.79248,69.50553
Adi,25.41667,66.53333
Adilabad,28.10725,66.27243
Adilabad,31.50984,69.84904
Admani Noh,28.73674,67.9066
Adnanzai,31.09349,69.85097
Ado,26.63118,66.09614
Adog Kili,30.6374,69.17849
Adorah,30.93419,67.19748
Adosh,30.8075,66.83518
Adosh Chinar,30.9489,66.92868
Adosh Sar,30.87909,66.89683
Adosh Shishan,30.92206,66.95001
Adozai,30.91522,69.5347
Adozai Kili,31.08624,69.42121
Adozo Zrandah,31.01513,66.76599
Adrahimzai,30.7502,68.3871
Adrai Melan,31.15626,68.54069
Adrakzai,31.00308,66.77168
Adrakzai,31.01704,66.75898
Aduzai Kili,30.90972,66.43732
Afghan Basti,29.48099,67.68971
Afghan Khosa,28.40607,67.42044
Afghan Kili,29.83014,66.84112
Afzal Khan,29.84096,67.04466
Afzal Khan,28.84423,65.01774
Agha Gul,30.77652,66.63131
Agha Muhammad,30.56986,66.59608
Agha Muhammad Barozai Colony,30.17943,67.01306
Agha Muhammad Kili,30.80436,66.47931
Aghabad Kili,30.05803,68.90867
Aghbalgai Karez,30.7275,67.52261
Aghbarg,30.91993,67.59029
Aghbarg,30.45386,69.0152
Aghbarg,30.82778,67.33296
Aghbarg,30.35242,68.38035
Aghbarg,30.79026,67.04777
Aghbarg,31.04221,69.19983
Aghbarg Kili,30.67142,68.43238
Aghbarg Maghzai,30.99047,66.90123
Aghbarg Nishpa,31.15524,69.94979
Aghbarga,30.29476,67.35054
Aghbargai,30.93708,67.43129
Aghbargai,30.89128,67.43626
Aghbargai,30.67938,66.58468
Aghbargai,30.81835,67.38635
Aghbargai,30.90778,67.3157
Aghbargai,30.50918,67.33449
Aghbargai,30.74156,66.74288
Aghbargai,30.76948,67.23835
Aghbargai,30.76985,67.01432
Aghbargai,30.94477,68.05539
Aghbargai,30.75035,67.40235
Aghbargai,30.48898,69.36432
Aghbargai,30.66774,66.571
Aghbargai,31.25226,69.91486
Aghbargai,30.47259,69.34357
Aghbargai,30.87798,67.63342
Aghbargai,30.62694,67.50917
Aghbargai,31.92432,69.65124
Aghbargai Kili,30.67227,67.69529
Aghbargai Kili,30.80406,68.95706
Aghbargai Kili,30.74297,68.9235
Aghbargai Kili,31.36417,69.55627
Aghbargi Kili,30.26336,68.5402
Aghhargi,30.33106,68.15877
Aghor,25.43926,65.54763
Agor Bent,25.72167,64.89778
Ah Gohram,26.26869,62.85773
Ahad,31.48793,67.96851
Ahad Ali,29.83334,67.00424
Ahdekai,31.12132,67.80692
Ahengari,28.087,66.79645
Ahmad,30.90405,67.4812
Ahmad,26.28568,66.53462
Ahmad,25.45627,64.66089
Ahmad,26.40896,66.72211
Ahmad,30.36694,66.92028
Ahmad Bazar,26.42755,63.63298
Ahmad Bazar,26.64502,63.24113
Ahmad Bazar,25.32729,62.199
Ahmad Chah,28.06727,64.75481
Ahmad Ghis,27.27077,62.85554
Ahmad Goth,25.33212,66.89586
Ahmad Goth,25.14398,66.75322
Ahmad Hara,28.969,67.68604
Ahmad Khan,31.54722,67.88333
Ahmad Khan Bazar,26.35479,64.15558
Ahmad Khan Goth,25.86347,67.32743
Ahmad Khan Umrani,28.26918,68.05144
Ahmad Khanzai,30.16356,66.97948
Ahmad Khei,30.50414,66.49379
Ahmad Khel,30.59729,66.81271
Ahmad Lund,30.26556,69.77538
Ahmad Nur,27.77807,66.41483
Ahmad Rodini,26.48309,66.51358
Ahmad Rozi,26.4066,66.5493
Ahmad Salarani Basti,30.20622,69.6859
Ahmad Shah Kotanai,31.04275,66.66396
Ahmad Tsah,30.74546,69.40519
Ahmad Tunia,28.1479,67.52421
Ahmad Wal,29.42217,65.93635
Ahmadabad,29.13578,66.53595
Ahmadabad,28.13481,67.8229
Ahmadan,29.20224,67.90428
Ahmadi Dirga,31.5861,69.87197
Ahmadpur,28.72077,67.67312
Ahmadun,30.48798,67.36436
Ahmadzai,31.06056,69.53637
Ahmed Feelan,30.55579,66.61442
Ahmed Feelan,30.53938,66.63887
Ahmed Kandi,26.47986,65.19169
Ahmed Khan Karez,31.25688,67.65773
Ahmuk,30.29629,69.33884
Ahorha,28.95,68
Ahsan Khan,30.75977,68.60529
Aioto,29.14296,67.58173
Aitebar Brahui,27.98809,67.8621
Ajab Tangai,31.15343,69.67298
Ajaibzai,30.73254,66.90569
Ajlal Muhammad Amir,30.36193,69.43637
Akara,25.25917,62.25528
Akara Khan,28.27728,68.09544
Akbar Bazar,26.22924,64.93245
Akbar Khan,28.60101,68.53244
Akbar Kili,30.06738,69.00299
Akbar Kili,29.06178,63.93478
Akbari,30.14093,67.83591
Akha Kaul,30.72181,66.75507
Akhezai,30.69938,66.97742
Akhmadkhan,31.62833,67.88472
Akhol,30.65512,67.5677
Akhruk,28.79026,66.56504
Akhtar Bazar,26.62866,63.41482
Akhtar Jan,28.85844,65.72578
Akhtar Kaul,30.76698,66.76633
Akhtar Kili,31.43812,69.41087
Akhtar Kili,30.51159,67.64563
Akhtar Kili,30.25003,66.45892
Akhtar Muhammad,31.30306,66.98629
Akhtar Muhammad,30.97339,66.80298
Akhtar Muhammad Karez,31.21764,67.67032
Akhtar Muhammad Kili,30.28515,66.50829
Akhtar Muhammad Kili,30.89551,66.40893
Akhtar Nike Ziarat,30.94093,68.09705
Akhtar Shah,30.01787,68.97001
Akhtarabad,30.12511,66.94269
Akhtari Kaha,30.2017,67.87501
Akhtarwal,29.51963,66.5622
Akhtarzai,30.68236,68.5101
Akhtarzai Kili,30.66333,68.49657
Akhter Kaul,30.90962,66.9294
Akhter Kaul,30.85104,66.90968
Akhtiar Manda,31.50503,69.74585
Akhtmar,30.4375,67.29583
Akhund Baba Ziarat,30.19837,66.98375
Akhund Karez,29.86316,66.74952
Akhund Mulla Malli Ziarat,29.58904,67.9373
Akhundani,28.60809,67.43089
Akhundzada China,30.3462,68.71908
Akhunzada,30.4018,66.9892
Akhuri,29.59999,66.69061
Akhzai,30.7693,67.00546
Akil Iomak,25.84972,63.40083
Aklas Zaregai,30.71889,67.82083
Aknam Khan,28.1356,67.96183
Akoza,28.14526,66.30551
Akozai Kili,31.48431,69.45858
Akrabai Kili,30.51341,69.31737
Akram,30.38805,67.77696
Akram Kach,30.9776,66.79366
Akram Khaskheli,28.35623,67.47862
