name,latitude,longitude
Abdul Razzaq Dahri,26.48053,68.17283
Abdul Rehman,27.88027,69.28888
Abdul Rehman,28.10809,68.20656
Abdul Rehman Awaili,28.3517,68.71126
Abdul Rehman Bhand,28.1146,68.24257
Abdul Rehman Brahui,28.10847,68.07535
Abdul Rehman Brahui,24.96391,66.82186
Abdul Rehman Nutiar,24.5061,68.97407
Abdul Rehman Surki,28.28869,68.79189
Abdul Salam Dahri,26.61995,68.22024
Abdul Salam Zardari,26.31818,68.33471
Abdul Samad,27.28892,67.79786
Abdul Samad Brahui,27.47602,67.88696
Abdul Sattar,28.37298,69.38426
Abdul Sattar Chang,24.81721,68.75249
Abdul Sattar Domki,28.39662,69.26337
Abdul Sattar Khosa,28.34944,68.68058
Abdul Sattar Kirio,26.23293,68.34542
Abdul Sattar Mangri,27.62025,69.13509
Abdul Sattar Nizamai,24.98558,68.74334
Abdul Sattar Shah,24.67645,68.03169
Abdul Shakur Pajpur,25.18673,69.33011
Abdul Sharif Arain,25.39182,68.91843
Abdul Wahab,28.04754,68.43183
Abdul Wahid,28.3888,68.70517
Abdul Wahid,24.62794,68.2508
Abdul Wahid Baran,24.63882,68.19068
Abdul Wahid Laghari,24.50505,68.15495
Abdul Wahid Pario,26.45709,67.97376
Abdul Zaur,24.71672,68.2525
Abdulah Chandia,24.91646,68.50697
Abdulla Razzaq Dasti,28.37441,69.78789
Abdullah Abad,25.05443,67.05858
Abdullah Abro,24.86809,68.51664
Abdullah Abro,25.25366,68.77271
Abdullah Abupoto,26.25258,69.09835
Abdullah Arisar,24.81667,69.33333
Abdullah Bakhsh Kalhoro,26.38334,68.36824
Abdullah Baloch,24.13401,67.48519
Abdullah Bhayo,28.14461,69.043
Abdullah Brohi Goth,25.02498,66.95092
Abdullah Bungalow,25.40553,68.34024
Abdullah Bungalows,25.03272,67.05688
Abdullah Chandio,24.90983,68.51512
Abdullah Chang,24.84592,68.74093
Abdullah Chang,25.42102,68.37912
Abdullah Charan,24.17451,67.48189
Abdullah Dal,24.88659,68.61199
Abdullah Dayo,28.12644,68.46752
Abdullah Gado,24.11004,67.47421
Abdullah Gaho,25.53038,69.12342
Abdullah Goth,24.98696,66.92855
Abdullah Halepota,24.92798,68.82599
Abdullah Jamali,26.30182,68.30359
Abdullah Jat,24.0224,67.50747
Abdullah Jat,24.03194,67.44722
Abdullah Jesar,26.72692,68.00499
Abdullah Ji Wand,24.60615,69.74417
Abdullah Junejo,24.80095,69.19014
Abdullah Kapri,25.25402,69.48646
Abdullah Khan,24.42769,68.76687
Abdullah Khan,28.13497,68.76344
Abdullah Khan,28.13675,68.73139
Abdullah Khan Buledi,24.7055,69.03681
Abdullah Khan Domki,28.41617,69.40637
Abdullah Khan Jamali,24.47354,68.04695
Abdullah Khan Khoso,25.2828,68.50647
Abdullah Khan Ladhamani,26.24353,68.62722
Abdullah Khan Laghari,25.05174,69.32421
Abdullah Khan Muri,28.32469,69.03685
Abdullah Khan Nizamani,24.95158,68.7118
Abdullah Khan Rajar,25.85764,69.04158
Abdullah Khaskheli,24.72853,68.43197
Abdullah Khaskheli,24.94664,68.76023
Abdullah Khaskheli,25.28056,69.325
Abdullah Khaskheli,26.28258,68.21185
Abdullah Khore,24.53687,68.9171
Abdullah Khosa,28.33929,68.98783
Abdullah Laghari,26.73789,68.13932
Abdullah Laghari,24.69113,68.1688
Abdullah Latiar,24.53673,68.80397
Abdullah Lohar,24.66917,67.64917
Abdullah Lund Baloch,26.38358,68.36805
Abdullah Machhi,28.42671,68.5245
Abdullah Major,25.03735,69.24236
Abdullah Mandro,24.5916,68.74197
Abdullah Mantharo,28.15469,68.80257
Abdullah Mehar Goth,27.93477,68.50208
Abdullah Memon,24.52509,68.10328
Abdullah Nagar,25.0452,67.05794
Abdullah Nahiun,25.43265,68.6483
Abdullah Panhwar,24.94807,69.24073
Abdullah Panwhar,25.72735,69.21277
Abdullah Patel,24.53611,67.64806
Abdullah Punjabi,24.88027,69.23013
Abdullah Punjabi,24.63648,68.46787
Abdullah Rajar,26.17407,69.46321
Abdullah Rajar,25.77906,69.22422
Abdullah Rajri,28.00276,69.73176
Abdullah Sangi,28.01591,69.34633
Abdullah Shah,24.59025,68.95913
Abdullah Shah,26.3575,67.95462
Abdullah Shah,26.36195,68.36758
Abdullah Shahwan,27.93697,69.27753
Abdullah Society,27.8621,69.26969
Abdullah Town,24.98363,67.05764
Abdullah ji Goth,25.54306,69.11213
Abdullah jo Tar,25.11086,70.42895
Abdullan Punjabi,24.96431,69.04183
Abdulwaris Tar,26.2712,69.39208
Abdur Rahim Chandio,27.61471,67.80061
Abdur Rahman Kalhora,28.03182,68.87191
Abdur Rashid Magasi,25.78674,68.78274
Abdur Rehman,28.03368,68.08507
Abdur Rehman Jatoi,27.7144,69.1212
Abhago Panhwar,24.57293,69.01507
Abhoro Hingora,24.55,68.25
Abid Markhiani,27.83333,68.35
Abidabad,24.91983,66.98208
Abijand Goth,27.62593,68.89549
Abilo,27.54998,68.86811
Abin Bakhsh jo Goth,27.00808,69.12053
Ablo Chachan,28.10136,69.30078
Ablo Chacharhar,28.09962,69.31194
Abol Wassi,24.58439,68.89673
Abra,24.62808,68.70422
Abra,27.3751,67.87839
Abra,27.54757,69.11932
Abrahu,26.76681,68.17224
Abrai,24.61257,69.29975
Abral,24.86136,68.25965
Abran,26.82868,68.02161
Abrewari,27.06371,69.2072
Abri,27.56993,68.04191
Abri,25.42882,68.59016
Abro,27.79062,67.89152
Abro,24.99685,68.54136
Abro Goth,27.83699,68.56654
Absani,26.54064,67.70236
Abu Bakar Halo Goth,24.78258,67.91831
Abu Khaskheli,26.00255,68.38899
Abu Mallah,24.73888,68.76248
Abu Māllo,24.53552,68.34042
Abu Talib Sipio,25.46886,68.52225
Abubakar,26.55773,68.91238
Abul Wasir,27.07674,68.65052
Aburo Lakho,26.06337,68.295
Abyssinia Lines,24.86199,67.05205
Achan,27.54722,68.15556
Achar,24.70111,67.70528
Achar,25.56667,67.71667
Achar Ali Hatto,24.83488,68.65226
Achar Bakho,24.39598,68.19712
Achar Brohi,27.86083,67.71602
Achar Chalka,24.38451,68.44241
Achar Chandio,25.48738,68.74243
Achar Dablo,24.1125,67.48194
Achar Dahri,26.47579,68.57089
Achar Dal,24.68504,68.3163
Achar Dal,24.73407,68.349
Achar Dal,24.23894,67.67585
Achar Dars,24.4049,69.05369
Achar Dars,24.96834,69.24764
Achar Dars,25.70037,69.3726
Achar Gadani,24.52547,68.16991
Achar Hingorjo,24.36974,68.12556
Achar Hingoro,25.79472,69.41214
Achar Jakria,27.54256,68.99445
Achar Jat,24.52201,68.32253
Achar Jat,24.70766,68.484
Achar Jat,24.61379,68.26919
Achar Jat,24.10897,67.4346
Achar Khali Bhan,25.98053,68.25956
Achar Khan Brahui,28.17322,68.52292
Achar Khan Branui,28.16877,68.51638
Achar Khaskheli,26.12359,68.36984
Achar Khaskheli,25.67505,68.35168
Achar Khaskheli,24.68673,68.04778
Achar Khokhar,27.52721,68.24605
Achar Khoso,26.71144,68.14396
Achar Lund,24.81796,69.13248
Achar Mahar,27.62363,69.44283
Achar Mallah,24.54587,68.24435
Achar Mallah,24.58563,68.18272
Achar Mallah,24.71009,68.95501
Achar Mohano,24.71281,68.21414
Achar Rind,24.79621,69.09936
Achar Salar Goth,24.84993,67.48049
Achar Schwal,25.62829,68.62186
Achar Shoro,25.27284,68.43775
Achar Solangi,26.86277,68.11943
Achar Thebo,24.9004,68.85989
Achar jo Goth,25.10905,70.32162
Achar jo Goth,25.73695,67.74522
Acher Khoso,28.32854,68.76165
Achha Pir,27.62655,67.91178
Achha Tar,27.55088,67.63279
Achhi Masit,27.96376,69.28492
Achhi Masit Rahu,26.01804,68.44962
Achle ji Dhani,24.89284,70.3658
Acho,26.16441,68.20449
Acho Chandio,24.83649,68.94633
Achrang Tar,26.28785,70.02286
Achu,23.96667,67.55
Ada,24.36643,70.26245
Adal Kalyar,26.41771,68.10942
Adal Sumro,28.12252,68.66608
Adam Bajir,24.47182,68.95277
Adam Chang,24.57897,68.79558
Adam Dahri,26.62543,68.17533
Adam Jan Pathan,25.32917,69.52917
Adam Khan,28.09626,68.98185
Adam Khan Jo Goth,27.45885,68.66029
Adam Khan Lund,26.12151,68.38242
Adam Mairi,28.35975,68.66015
Adam Makhio,24.61247,69.25384
Adam Mallah,24.58739,68.82106
Adam Pali,25.48472,69.525
Adam Phanwar,26.67669,67.82984
Adam Phanwar,26.66163,67.85083
Adam Sammun,24.56482,68.08505
Adam Sehta,24.68241,68.06422
Adam Town,24.9689,67.0637
Adam Wasan Goth,26.63438,68.9339
Adam Zaunr,25.03729,68.54688
Adam jo Tar,25.1013,70.60792
Adamji Goth,27.76475,68.50693
Adamji Nagar,24.8751,67.0877
Adani Jat,24.66761,68.39672
Adar Tokya,27.93254,68.89406
Adbul Qādir Dāhri,26.48518,68.23828
Ade Jo Tar,24.67039,70.42693
Adh Jagirani,28.02309,68.72583
Adha Khan Gadio,27.09932,67.69777
Adhar Chandin,24.6279,68.75509
Adhi Pahar,27.65802,68.93714
Adhi Shoro,25.33124,68.32367
Adhiakho,27.71002,69.17042
Adhigaim,24.30263,70.65896
Adhkhahi,26.83245,68.10684
Adhkhu,24.67881,69.49149
Adi Lashari,27.34611,67.85899
Adil Shah,24.8949,68.82406
Adil Shar,27.11344,68.61987
Adil Tagar,26.83835,68.09577
Adilpur,27.93677,69.31941
Adio jo Vandhio,24.40328,70.9353
Adku Goth,25.2401,69.98104
Adlao Goth,26.66714,68.82492
Adlo Machhi,27.95151,69.30787
Adlu Jo Goth,26.71492,69.31835
Adoi,26.55303,68.87858
Adu Khan,28.30099,69.31577
Adu Khaskheli,25.33333,69.34583
Adujo Wand,26.51667,69.66667
Aejo Goth,27.77988,68.59164
Afandi Town,25.39141,68.38133
Aftab Ali Goth,24.70881,69.19436
Aftab Panjabi,26.22823,68.52375
Afzal Khan Laghari,28.0059,69.60876
Agahi,28.08333,69.03889
Agan Wadero,25.38528,68.41515
Agar Dhani,26.26002,70.06093
Agar Wasan,25.7391,68.51982
Agara Chang,24.45484,68.7942
Agedino,24.68,67.61333
Agedino Shah,24.23506,67.91146
Aggan Faqir Jo Goth,27.22961,68.44481
Agha Akhtar Khan Pathan,28.10541,68.34008
Agha Badruddin,27.97361,68.50278
Agha Badruddin ji Wand,27.81528,68.46528
Agha Khan Apartment,24.94727,67.16107
Agha Khan Jamat Khana,25.41506,68.36799
Agha Khan Pathan Farm,25.14276,69.47779
Aghani,27.60959,68.34013
Agho Khan Sundrani,28.15591,69.48964
Agra Taj Colony,24.86551,66.99043
Agran jo Par,25.574,70.18304
Agro Goth,27.86835,69.1693
Agro Peno,27.21854,68.30899
Ahar,27.71419,67.99723
Ahdi Khan Mehrani,27.22977,68.6189
Ahdi Phul,26.77459,68.18247
Ahede ji Dhani,24.91913,70.40119
Ahir Khan Jagirani,27.59307,68.07972
Ahmad,25.00417,68.52083
Ahmad Ali,24.07806,67.47733
Ahmad Ali Balkani,28.34638,69.04096
Ahmad Ali Laghari,24.5531,68.05533
Ahmad Arisar,25.4616,68.85738
Ahmad Bakhsh Chandio,26.00744,68.17364
