name,latitude,longitude
Barting,35.61124,74.14982
Barut,36.46066,74.89593
Basha,35.31491,74.13139
Basha,35.8239,73.36123
Bashal,35.63884,73.55035
Bashgri,36.2064,74.13162
Bashish,35.68004,73.62383
Bashit,35.40093,73.74641
Bashkach,35.50774,74.87421
Basho Shal,36.24853,73.09152
Bashu,35.46909,75.35853
Basin Pain,35.92142,74.27548
Basinpar Bala,35.93154,74.24119
Baskomal,35.68084,73.43535
Baswa,35.2685,73.81727
Batal,35.41287,73.78083
Batali,35.84849,73.58689
Batel,35.978,73.3781
Bateli,35.7038,74.10604
Bateli Baihk,35.19911,74.6355
Bathan,35.46195,75.35002
Bathrait,35.37245,74.5948
Batkor,35.8701,74.58122
Batmul,35.45237,74.81182
Batunpi Thang,34.84527,76.14889
Batwash,35.04861,74.72421
Batyatum Jut,36.49848,73.04202
Bayun,35.73327,73.38709
Bazarar,35.30557,73.93912
Bazgang,35.64334,75.3072
Behshuri,34.80053,76.13929
Bejopatro,35.38024,74.47307
Belangah,35.32898,73.82685
Belthe Brok,35.67195,75.43334
Beri Chubatang,36.4414,73.4438
Berkash,35.74421,74.43545
Bero Kot,35.64386,73.6151
Besakal,35.34389,73.99034
Besil,35.20565,74.16513
Beskiyeng,36.8203,74.1874
Bethambah,35.47154,74.35155
Bewbin,35.14343,74.32108
Beyang Baihk,35.11665,74.73404
Beyari,35.73539,73.65969
Bezar,35.41715,74.57694
Bezar Baihk,35.41691,74.5607
Bezat,35.26976,73.95678
Bhecha,35.2698,76.3964
Bhil Dadar,35.94217,73.22726
Bhimpa,35.43487,75.72105
Bhit,35.71347,74.95356
Bholang Basti,35.1423,74.14481
Bholang Basti,35.15646,74.14747
Bhottai,35.45031,73.92582
Bhulpa,35.34443,75.84705
Bhundo,35.48403,75.65166
Bhurt,36.57773,74.06398
Biachin,36.2194,74.3945
Biadong,35.12643,75.96905
Biah Basti,35.12797,74.17064
Biali,35.59148,74.08409
Biali,35.60465,74.17893
Bialzey,35.24734,74.72568
Biang Shur,35.40774,75.38759
Biange,35.75273,76.38934
Biano,35.69138,75.58523
Biansah,35.28144,75.55642
Bianz Shal,36.28697,72.9024
Biapong,35.40898,75.74287
Biar,36.0543,74.09306
Biasing,35.418,75.74354
Bichlilli,35.07979,74.80012
Bielargo,34.68207,76.15926
Bien,35.78048,75.39908
Bigardo,35.4439,75.47796
Bigo,35.69603,73.41971
Bihmar,35.54764,74.53554
Bijiot,34.76682,76.07056
Bijiot,36.35016,73.34492
Bijuthing,36.35925,73.64636
Bilamik,35.56974,75.10223
Bilchhar,36.13229,74.03266
Bilchhar,35.94364,74.54632
Biledat,35.29949,73.96488
Bilelman,34.63821,76.13994
Bilhanz,36.52986,73.99419
Bilmas Baihk,35.23573,74.39988
Binyal,36.15981,74.24184
Bioursing,35.29515,75.68851
Birgal,36.32778,73.83079
Birokot,35.67252,73.62359
Bishpu,35.14773,74.31853
Bisil,35.85588,75.41683
Bit,34.85837,76.11836
Bitnki,36.50116,73.19189
Bito,35.58526,73.86262
Biyatar,36.81979,74.1432
Blokhor,35.38438,75.59185
Blokore,35.43527,75.7353
Bochli,35.3736,74.96291
Boebar,36.625,74.9387
Boghmah Harel,35.4689,75.84993
Bohrik,36.66342,73.54063
Boihil,36.95316,74.75763
Bola Das,36.274,74.2704
Bolan,35.32579,74.85333
Boldas,35.60189,75.23725
Boljok,35.23912,75.93742
Bomaroe,35.2143,74.99329
Bonai,36.24586,74.21754
Bone,36.0979,74.127
Bontangos,35.67345,75.44808
Boqdar Brak,35.59665,75.24448
Boqpal,35.42097,75.46009
Borashkoran,34.9513,76.17566
Boredas,35.28538,76.19073
Boresher,35.64173,75.30934
Borh,36.02642,74.4482
Bork Khar,35.11461,75.84193
Borom-Harai,36.24422,73.84471
Borushal,36.2252,74.7448
Botakush,36.40052,73.17559
Bote Cho,35.01887,76.13065
Boto Mal,35.49432,75.35563
Boyal,34.64967,75.90594
Brachan,35.29906,75.69608
Braga Rama,35.22544,76.18965
Bragar,35.23842,76.18707
Braigan,35.46311,74.41008
Brangsa,35.13587,76.19878
Brapa,35.69922,75.03151
Braqthoq,35.22161,76.0825
Brashki,36.28179,74.2372
Bratsok,35.2435,76.20185
Brokchhad,35.18017,75.87218
Brokchogho Baihk,35.22673,75.80263
Brokhuz,34.65938,75.54141
Broknuk,35.35852,75.60969
Broqpa,35.33997,76.14011
Broshke,35.37911,74.0339
Buaput,36.1821,74.9409
Bubind,35.22613,75.06354
Bubur,36.14833,73.86147
Buch Boi,36.3968,75.72585
Buddan,35.6628,73.62965
Buddan,35.66648,73.6277
Budelas,36.28316,74.33087
Bughural,35.29309,73.75689
Bui,35.38617,73.84721
Buian,35.63834,74.48743
Buk,36.68575,74.02135
Bukma,35.40987,76.10427
Bulandi,36.50582,73.96723
Bulantar,36.45511,73.97601
Bularung,36.21037,75.11079
Bulashbar,35.22452,74.84961
Bulch Bala,36.02662,74.55156
Bulch Pain,36.021,74.54522
Bulcho,35.85392,75.41236
Bulcho,35.34146,75.34314
Bule Das,35.87751,74.74105
Bulli Rah,34.89289,76.0942
Bulo,35.42426,73.91221
Bunar,35.31255,74.27712
Bunar Das,35.40196,74.33375
Bunish,36.23864,74.7305
Buniyal,34.62555,75.78305
Bunji,35.64768,74.6305
Bunpah,35.4302,75.72674
Burakot,36.51822,73.42515
Burat,35.17571,76.16259
Burat,34.8248,76.08335
Burch,35.74143,74.73497
Burchat,35.71523,73.3248
Buri Bari,35.73674,74.55007
Buri Geri,35.83845,74.65263
Buri Tapsa,35.71629,74.94523
Burizihl Brok,35.00678,75.88885
Buro,35.13197,75.90608
Burtha Burthi,36.44462,73.67382
Burum,35.52707,75.35708
Bus Kheri,35.22843,74.09758
Buto Kot,35.42207,74.11109
Buyun,35.75203,73.34776
Byarons,35.12438,75.9672
Chaichar,36.2341,74.3031
Chaino,35.4616,75.3116
Chainso Baihk,35.22015,75.65783
Chait,36.25171,74.32266
Chajjar,36.13533,74.38586
Chakar,35.31093,73.96015
Chakarkot,35.73009,74.57293
Chakjing,35.67507,75.26561
Chakoi Di Baihk,35.21686,73.95934
Chakot,35.14125,74.20788
Chalachari,35.32859,73.73322
Chalapan,36.59449,74.85925
Chalar Chari,35.60047,73.73887
Chali Bosan Basti,35.15935,74.17099
Chalkot,36.00645,74.54297
Chalo,35.94725,74.10786
Chalowal,35.58091,74.99047
Chalt Pain,36.2442,74.31248
Chalyar,36.30024,74.63647
Chamangul,36.38023,74.86004
Chamar Bakor,36.22928,74.67104
Chamati,35.29621,73.80655
Chamgag,35.02617,76.37193
Chamluk,34.65884,75.67687
Chamrot,35.08503,74.76194
Chamrot Baihk,34.93019,74.65617
Chamti Khui,35.73836,73.94421
Chandani Chauki,35.91087,74.39816
Chando,35.67613,75.25893
Chandu,35.32288,76.15452
Chang Charoli,35.31416,73.80954
Changmachhu,35.67449,74.92282
Changmar,34.76794,76.20356
Chani Gond Bulghar,35.23024,76.18381
Chaprot,36.26534,74.28555
Chaq Chan,35.1565,76.33045
Chashma Chauki,35.16048,74.99689
Chathatang,34.72796,76.23641
Chator Bari,35.80204,74.46783
Chator Khan,36.34766,73.84522
Chauki Jut,35.4653,74.3674
Chekan,35.66055,74.0943
Chergonma,35.67708,75.25345
Chhabthung,35.52625,75.34387
Chhacha Ban,35.45191,74.15428
Chhachho Khum,35.5323,74.14542
Chhachhoki,35.51332,74.14145
Chhain,35.1015,74.80178
Chhain Baihk,34.92167,74.87048
Chhalat,35.11083,75.05438
Chhaliat,35.05271,74.8573
Chhamongarh,35.83842,74.54078
Chharini,36.42298,73.71394
Chharo Dot,35.24639,74.29818
Chhashi,36.17386,72.96636
Chhashuli,36.2085,74.5751
Chhatobas Baihk,35.12069,74.96845
Chhatpa,35.12011,75.82915
Chhelish,36.59517,73.27087
Chheni Thang,34.96668,76.22004
Chheri,35.51822,74.80192
Chhichi,35.37508,74.05357
Chhikldas,35.21628,74.05718
Chhiledur,35.59769,73.9918
Chhilin Das Baihk,35.17718,74.58556
Chhilmish,35.98041,74.32158
Chhiriate,36.49353,73.25701
Chhobar,34.9424,76.05497
Chhobor Brok,35.64382,75.41543
Chhogam Baihk,34.86963,74.89007
Chhogam Baihk,34.87487,74.88286
Chhogho Gorum,35.26996,76.69054
Chhoghokhar,35.5802,75.05541
Chhoikoi,35.60974,74.91206
Chhor,35.38494,73.97287
Chhori,34.81651,76.10309
Chhota Das,34.64857,75.56127
Chhothik,35.2076,76.07575
Chhubar,34.96775,75.95004
Chhugam,35.19313,74.78246
Chhumic,35.63645,75.31357
Chhumri,35.43215,75.76243
Chhundo,34.64398,75.85909
Chhutran,35.64505,74.94254
Chiba,35.44871,74.42588
Chibo,35.24626,76.25163
Chichal Gah,35.85028,73.36459
Chichamul,36.13442,73.81316
Chikar,36.37643,75.78904
Chikardi,35.92038,72.66178
Chiki Das,36.48894,73.26837
Chilam Das,35.0322,75.10492
Chilas,35.41287,74.10407
Chileli,35.83583,74.04271
Chillinji,36.7859,74.00546
Chilo Dur,35.58933,74.00127
Chinar,36.36235,73.85024
Chinar Bagh,35.92297,74.32587
Chindrikir,36.41129,75.9653
Chipurghutum,36.18469,75.11259
Chira,35.81746,73.67604
Chirah Bala,36.02684,74.5575
Chirah Pain,36.02425,74.55526
Chirathang,35.23781,75.92007
Chiraut,35.39972,74.23299
Chiro Basti,35.13211,74.17489
Chithang,35.05067,76.08719
Chithar,35.64324,73.86816
Chitti Nadi,34.96497,74.89209
Chlil Baihk,35.71814,73.44745
Choapa,35.35999,75.64313
Chobar,35.18327,75.84842
Chochon Brok,35.08398,75.93631
Choga Bransa,35.34839,76.17742
Chogho Gond Bulghar,35.23614,76.18325
Chogho Grong,35.17037,76.07936
Choghu Grang,35.34856,76.13379
Choko,35.88076,74.04243
Chokpio,35.74064,75.61298
Chol,35.09678,75.98582
Choli Chan Bransa,35.26486,76.14394
Chomai,35.21367,73.94819
Chonchupa,35.50864,75.60727
Chongo,35.69024,75.74452
Chongra,35.36282,74.84408
Chori,35.3851,73.87098
Chorka,35.46968,75.7096
Chorlait,35.40814,73.73848
Chowat,35.37214,73.81482
Chuar,34.92153,76.69758
Chuchu Ano Tik,36.47496,73.48037
Chugiyat,35.42405,74.34457
Chuikiat,35.21237,74.09218
Chukarun,35.54699,74.76668
Chuke,35.7589,73.67607
Chukotens,36.14919,75.05751
Chukutans,36.13423,74.90196
Chul Chal,35.32202,76.11835
