name,latitude,longitude
Afsare Mall Kalle,34.09528,72.12383
Afshan Colony,33.99173,71.55633
Afsik,36.15798,71.44106
Afzalabad,34.20705,71.83183
Afzalabad,34.46455,73.13533
Afzalabad,34.28185,71.99309
Afzalabad,36.18897,71.67255
Afzalabad,34.36459,73.21702
Afzalian,34.10412,71.82321
Agara,34.59036,71.4303
Agarai,34.38781,72.53502
Agarbia Biland Khel,33.33371,70.53643
Aghai Garh,34.42973,71.76783
Aghal,35.02607,72.33773
Aghal Kalle,33.71849,70.79188
Aghalai,33.70741,70.59314
Aghbargai Khullah,32.39592,69.94744
Agher China,34.68687,72.57249
Agherale,34.94785,71.61255
Aghtargai,32.52068,69.27818
Aghwān,34.88333,72.7
Aghzaikas,32.40628,69.47577
Aghzan,32.97459,69.97888
Aghzan,32.31998,71.14241
Aghzar Khel,32.35867,70.81772
Aghze Poya,33.15509,70.52602
Agli Gali,34.18105,73.29955
Agra,34.82384,71.37218
Agra,33.80082,70.17558
Agram,36.29016,71.60208
Agri Kalla,32.95486,70.91604
Agri Khanzad Khel,32.53521,70.64896
Agro,35.09365,72.51716
Ahad Khan,34.2005,72.39208
Ahal,34.36432,73.04544
Ahata Kotanawala,31.84315,70.91954
Ahd Koruna,34.38372,71.2484
Ahingar Baba Ziarat,34.81083,72.18494
Ahingar Kili,34.33333,71.78083
Ahingaro Baba Kandao,34.81611,72.19627
Ahingaro Cham,35.13257,72.4833
Ahingaro Derai,34.78403,72.33855
Ahl,34.66817,73.14929
Ahl,34.55288,73.15448
Ahl,34.61709,73.20928
Ahl Seri,34.34407,73.02256
Ahmad Abad Garo,34.32101,71.86653
Ahmad Khan,34.2574,71.87157
Ahmad Khan,32.96852,70.56951
Ahmad Khan,32.30056,70.73333
Ahmad Khan Karuna,34.24999,71.89736
Ahmad Khan Kili,34.15288,71.24223
Ahmad Khel,33.16175,71.25168
Ahmad Khel,32.98307,69.9876
Ahmad Khel,32.44697,70.96804
Ahmad Ragai,33.88314,70.28746
Ahmad Shah,32.85333,70.58028
Ahmad Shah,32.86528,70.56667
Ahmad Shah Kalle,32.49261,70.49584
Ahmad Wala,33.06711,71.00711
Ahmadabad,33.03466,70.99075
Ahmadabad,34.29266,71.9709
Ahmadi Kor,34.39836,71.4298
Ahmadi Nakai,33.8462,70.7977
Ahmadi Shama,33.44777,70.44144
Ahmadwal,32.04024,69.36157
Ahmadwam,32.44667,69.90948
Ahmadwam,32.53974,70.00765
Ahmadzai,33.8187,70.13221
Ahmal Banda,35.50747,72.06355
Ahmed Bandi,34.13553,73.08386
Ahmed Khel,33.95645,71.54478
Ahmed Shah,32.25141,70.36427
Ahmedabad,34.31112,71.64836
Ahmedabad,34.22118,73.0139
Ahmedabad,34.08499,71.62135
Ahmedabad,34.05083,71.85739
Ahmedi Banda,33.28666,71.18067
Ahnai Tangi Kili,32.4683,70.03715
Ahnei Kalle,32.47843,70.03202
Ahsam Koruna,34.34944,71.74278
Ahsan Khan,34.35554,71.86361
Ahusai,35.22974,73.20546
Aichar,34.87029,72.91394
Aidal Khel,33.03772,70.76343
Aido,35.06922,71.71742
Aikam Khel,32.9834,70.29094
Aimal Kalla,32.97048,70.91415
Aimal Kalla,32.93473,70.93746
Aimal Khel,32.96621,70.66328
Aimal Khel,33.64277,71.5128
Ain,34.70536,73.09995
Ain Posh,33.7633,70.98171
Aingara,33.74513,70.63556
Aipai,33.81231,70.40529
Aipi Kor,34.57346,71.32609
Airan,34.3345,72.90893
Airho Baihk,35.1726,73.56944
Aisa,34.75032,73.49941
Aizhai Kachkai,32.45739,69.83273
Ajab Garhi,34.28567,72.81213
Ajab Gul Banda,34.26453,72.11025
Ajab Gul Kalle,34.12712,72.31696
Ajab Khan,34.27558,71.9019
Ajab Khan Kalle,32.25778,69.49111
Ajab Khan Pipalai,32.72824,69.68641
Ajab Talab,33.83114,71.53215
Ajabe,34.94215,71.67302
Ajamir Ghundai,34.32769,72.30164
Ajara,34.2172,71.78232
Ajara Kalle,34.27375,71.81169
Ajara Kalle,34.26588,71.75132
Ajdarra,34.59551,71.46115
Ajim Khan,32.42793,69.47033
Ajin Shamal,35.01289,73.02883
Ajlai,34.76462,72.986
Ajlai,34.56234,72.70927
Ajlo,34.87367,72.87572
Ajmair,34.1444,72.57595
Ajmair Khel,33.79151,70.87688
Ajmer,35.07599,72.75684
Ajmera,34.67192,73.01819
Ajmir,34.29948,72.31559
Ajmir,35.07106,72.75774
Ajnal Kot,36.24711,72.19852
Ajorai,35.01667,72.59583
